시군명,서비스구분명,기관명,도로명주소,지번주소,우편번호,전화번호,팩스번호,비고,WGS84위도,WGS84경도
수원시,노인돌봄기본서비스,SK청솔노인복지관,경기도 수원시 장안구 장안로 174,경기도 수원시 장안구 정자동 286번지,16340,031-257-6811,031-257-6812,,37.29889634,126.9973329
가평군,노인돌봄기본서비스,가평군노인복지관,경기도 가평군 가평읍 가화로 161,경기도 가평군 가평읍 읍내리 625-8번지,12413,031-582-0763,031-581-0511,,37.83347967,127.5110479
고양시,노인돌봄기본서비스,고양시대화노인종합복지관,경기도 고양시 일산서구 일산로 778,경기도 고양시 일산서구 대화동 2237번지,10382,031-917-1352,031-917-1360,,37.67446225,126.748021
과천시,노인돌봄기본서비스,과천시노인복지관,경기도 과천시 문원로 57,경기도 과천시 문원동 15-168번지,13828,02-502-8500,02-502-8522,,37.42807486,127.0043055
수원시,노인돌봄기본서비스,광교노인복지관,경기도 수원시 영통구 센트럴타운로 22,경기도 수원시 영통구 이의동 1328-1번지,16505,031-8006-7400,031-8006-7459,,37.28940538,127.056866
광명시,노인돌봄기본서비스,광명시립소하노인종합복지관,경기도 광명시 소하로 25,경기도 광명시 소하동 1291번지,14315,02-6212-0113,02-2625-9330,,37.4521268,126.8849047
광주시,노인돌봄기본서비스,광주시노인종합복지회관,경기도 광주시 파발로 202,경기도 광주시 탄벌동 18-1번지,12739,031-766-9129,031-766-9266,,37.41686062,127.2498977
구리시,노인돌봄기본서비스,구리시종합사회복지관,경기도 구리시 벌말로129번길 50,경기도 구리시 토평동 984번지,11946,031-556-8100,031-556-6052,,37.58922903,127.1464825
김포시,노인돌봄기본서비스,김포시노인종합복지관,경기도 김포시 사우중로74번길 48,경기도 김포시 사우동 865번지,10111,031-997-9300,031-996-3926,,37.62219345,126.7225773
남양주시,노인돌봄기본서비스,남양주시노인복지관,경기도 남양주시 진건읍 진건오남로 359,경기도 남양주시 진건읍 송능리 109-17번지,12129,031-573-6598,031-573-6597,,37.67333432,127.197142
