시군명,시설명,이용회원수,도로명 주소,지번 주소,우편번호,전화번호,설치일자,관할기관명,관할담당부서명,관할연락처,비고,WGS84위도,WGS84경도
가평군,가일1리경로당,68,경기도 가평군 설악면 유명산길 19-1,경기도 가평군 설악면 가일리 193-2번지,12473,031-584-6831,1989-05-16,가평군청,희망복지실,031-580-2282,,37.59993028,127.4930357
가평군,가일2리경로당,40,경기도 가평군 설악면 어비산길 164,경기도 가평군 설악면 가일리 92-1번지,12473,031-585-7898,1989-05-16,가평군청,희망복지실,031-580-2282,,37.59556492,127.509086
가평군,가평읍분회경로당,35,,경기도 가평군 가평읍 읍내리 366번지,12419,031-582-7210,2003-05-06,가평군청,희망복지실,031-580-2282,,37.82551077,127.5162748
가평군,개곡1리경로당,43,경기도 가평군 가평읍 능모루길 117,경기도 가평군 가평읍 개곡리 781-11번지,12410,031-582-2293,2004-09-05,가평군청,희망복지실,031-580-2282,,37.86717096,127.5322922
가평군,개곡2리(줄기리)경로당,20,경기도 가평군 가평읍 보납로 459-41,경기도 가평군 가평읍 개곡리 449-4번지,12410,031-581-5877,2014-07-03,가평군청,희망복지실,031-580-2282,,37.85012482,127.5501562
가평군,개곡2리경로당,56,,경기도 가평군 가평읍 개곡리 348-3번지,12410,031-582-9055,1992-04-13,가평군청,희망복지실,031-580-2282,,37.8687866,127.5551811
가평군,경반리경로당,60,경기도 가평군 가평읍 경반안로 116,경기도 가평군 가평읍 경반리 196-7번지,12415,031-582-5902,1989-05-16,가평군청,희망복지실,031-580-2282,,37.83298444,127.4918245
가평군,고성리경로당,48,경기도 가평군 청평면 말래골길 6,경기도 가평군 청평면 고성리 437-1번지,12456,,,가평군청,희망복지실,031-580-2282,,37.71585919,127.5010796
가평군,금대리(비령대)경로당,27,경기도 가평군 가평읍 비령대길 112,경기도 가평군 가평읍 금대리 217번지,12428,031-582-4530,2011-03-02,가평군청,희망복지실,031-580-2282,,37.76466094,127.5346589
가평군,금대리경로당,44,,경기도 가평군 가평읍 금대리 140번지,12428,031-581-5331,1989-05-16,가평군청,희망복지실,031-580-2282,,37.75687913,127.5361352
가평군,넥스빌아파트경로당,38,,경기도 가평군 가평읍 달전리 281번지 세대넥스빌아파트,12422,,2012-02-02,가평군청,희망복지실,031-580-2282,,37.81376362,127.5201568
가평군,달전1리경로당,45,경기도 가평군 가평읍 북한강변로 1127-1,경기도 가평군 가평읍 달전리 312-1번지,12422,031-582-1690,1989-05-16,가평군청,희망복지실,031-580-2282,,37.81117876,127.5199684
가평군,달전2리경로당,75,,경기도 가평군 가평읍 강산길14-3,12422,031-582-4427,1989-05-16,가평군청,희망복지실,031-580-2282,,,
가평군,대곡1리(남)경로당,35,경기도 가평군 가평읍 오리나무길 56-14,경기도 가평군 가평읍 대곡리 180-10번지,12420,031-582-2263,1989-05-16,가평군청,희망복지실,031-580-2282,,37.82270268,127.5135522
가평군,대곡1리오목경로당,64,경기도 가평군 가평읍 오목내길 15-1,경기도 가평군 가평읍 대곡리 678-2번지,12421,031-582-8144,2009-10-01,가평군청,희망복지실,031-580-2282,,37.81937822,127.5156303
가평군,대곡2리경로당,49,경기도 가평군 가평읍 새말옛로 10,경기도 가평군 가평읍 대곡리 284-5번지,12417,031-582-8133,1997-05-21,가평군청,희망복지실,031-580-2282,,37.82823106,127.51016
가평군,대곡3리경로당,52,경기도 가평군 가평읍 비석거리길 13,경기도 가평군 가평읍 대곡리 197-2번지,12420,031-582-7776,2006-12-14,가평군청,희망복지실,031-580-2282,,37.82306772,127.5145542
가평군,대곡4리경로당,73,경기도 가평군 가평읍 석봉로77번길 1,경기도 가평군 가평읍 대곡리 145-8번지,12416,031-582-6737,1990-04-03,가평군청,희망복지실,031-580-2282,,37.8220139,127.5124117
가평군,대보1리이곡경로당,43,경기도 가평군 조종면 대보간선로 155,경기도 가평군 조종면 대보리 338-4번지,12439,031-584-6814,1992-08-21,가평군청,희망복지실,031-580-2282,,37.81015214,127.3624556
가평군,대보1리하곡경로당,21,경기도 가평군 조종면 대보간선로 81,경기도 가평군 조종면 대보리 446-2번지,12439,031-585-1817,2009-10-01,가평군청,희망복지실,031-580-2282,,37.81526462,127.3581194
가평군,대보2리경로당,32,경기도 가평군 조종면 대보간선로611번길 5,경기도 가평군 조종면 대보리 63번지,12439,031-585-3428,,가평군청,희망복지실,031-580-2282,,37.79878909,127.3915125
가평군,대보리(다부산)경로당,19,경기도 가평군 조종면 대보간선로 337,경기도 가평군 조종면 대보리 159-4번지,12439,031-584-3870,2007-02-08,가평군청,희망복지실,031-580-2282,,37.79628942,127.3703133
가평군,대성1리경로당,28,경기도 가평군 청평면 소돌말길 7-41,경기도 가평군 청평면 대성리 34-29번지,12457,031-584-3356,,가평군청,희망복지실,031-580-2282,,37.72390807,127.4059005
가평군,대성2리경로당,35,경기도 가평군 청평면 남가로 2071-41,경기도 가평군 청평면 대성리 340-24번지,12457,031-585-8119,,가평군청,희망복지실,031-580-2282,,37.69755176,127.3824795
가평군,대성3리경로당,62,,경기도 가평군 청평면 대성리 627-2번지,12457,031-584-2277,,가평군청,희망복지실,031-580-2282,,37.6804428,127.3767583
가평군,덕현리경로당,80,경기도 가평군 상면 광신길 7,경기도 가평군 상면 덕현리 390-1번지,12446,031-584-2224,1988-12-31,가평군청,희망복지실,031-580-2282,,37.7609873,127.3936751
가평군,도대1리경로당,47,경기도 가평군 북면 대촌들길 2,경기도 가평군 북면 도대리 154-4번지,12401,031-582-5998,,가평군청,희망복지실,031-580-2282,,37.92427507,127.4940547
가평군,도대2리경로당,51,경기도 가평군 북면 가화로 2462,경기도 가평군 북면 도대리 393-15번지,12401,031-582-7579,,가평군청,희망복지실,031-580-2282,,37.95958039,127.4723855
가평군,두밀리경로당,85,경기도 가평군 가평읍 태봉두밀로 422-5,경기도 가평군 가평읍 두밀리 44-6번지,12425,031-582-9201,1992-11-16,가평군청,희망복지실,031-580-2282,,37.81628953,127.4559178
가평군,마일1리경로당,20,경기도 가평군 조종면 연인산로 535,경기도 가평군 조종면 마일리 339-8번지,12433,031-585-3827,,가평군청,희망복지실,031-580-2282,,37.8518423,127.3785652
가평군,마일2리경로당,27,경기도 가평군 조종면 보름골길242번길 7,경기도 가평군 조종면 마일리 130-1번지,12433,031-584-5906,,가평군청,희망복지실,031-580-2282,,37.82417976,127.3825592
가평군,마장1리경로당,75,경기도 가평군 가평읍 아랫마장길 136-84,경기도 가평군 가평읍 마장리 782번지,12409,031-581-0500,1989-05-16,가평군청,희망복지실,031-580-2282,,37.84875695,127.5032222
가평군,마장2리경로당,75,경기도 가평군 가평읍 각담말길 9-70,경기도 가평군 가평읍 마장리 321-2번지,12409,031-582-8362,1989-05-16,가평군청,희망복지실,031-580-2282,,37.86000954,127.5137185
가평군,목동1리경로당,42,경기도 가평군 북면 화악산로 8-12,경기도 가평군 북면 목동리 849-6번지,12403,031-582-8444,,가평군청,희망복지실,031-580-2282,,37.88589221,127.550023
가평군,목동2리경로당,0,경기도 가평군 북면 멱골로 169-10,경기도 가평군 북면 목동리 570-3번지,12403,031-582-3868,,가평군청,희망복지실,031-580-2282,,37.90589366,127.5707403
가평군,묵안1리경로당,31,경기도 가평군 설악면 묵안로 1025,경기도 가평군 설악면 묵안리 168-4번지,12474,031-584-9228,,가평군청,희망복지실,031-580-2282,,37.6003742,127.5361146
가평군,묵안2리(1반)경로당,21,경기도 가평군 설악면 장수로 80-26,경기도 가평군 설악면 묵안리 640-1번지,12474,031-585-2855,1984-05-30,가평군청,희망복지실,031-580-2282,,37.61345474,127.5140546
가평군,묵안2리조항(2반)경로당,20,경기도 가평군 설악면 묵안로902번길 49,경기도 가평군 설악면 묵안리 339-1번지,12474,031-585-7732,2011-02-18,가평군청,희망복지실,031-580-2282,,37.60173694,127.5214484
가평군,물골경로당,24,경기도 가평군 상면 물골길 210-15,경기도 가평군 상면 봉수리 38-2번지,12440,031-584-3669,2014-09-23,가평군청,희망복지실,031-580-2282,,37.83878136,127.3057136
가평군,미사리경로당,51,경기도 가평군 설악면 미사리로 608-5,경기도 가평군 설악면 미사리 296-2번지,12462,031-584-7789,1981-12-23,가평군청,희망복지실,031-580-2282,,37.7052458,127.5401082
가평군,방일1리경로당,26,경기도 가평군 설악면 양방가루재길 101,경기도 가평군 설악면 방일리 104-3번지,12472,031-584-7730,1987-11-01,가평군청,희망복지실,031-580-2282,,37.62947883,127.5002532
가평군,방일2리경로당,38,경기도 가평군 설악면 양방가루재길 6,경기도 가평군 설악면 방일리 215-1번지,12472,031-584-3900,1989-05-16,가평군청,희망복지실,031-580-2282,,37.62300719,127.496608
가평군,방일3리경로당,36,경기도 가평군 설악면 평촌길 29-1,경기도 가평군 설악면 방일리 275-4번지,12472,031-584-0633,1985-02-17,가평군청,희망복지실,031-580-2282,,37.62045012,127.4983581
가평군,백둔리경로당,50,경기도 가평군 북면 백둔로467번길 13,경기도 가평군 북면 백둔리 486-6번지,12406,031-582-9334,,가평군청,희망복지실,031-580-2282,,37.90217048,127.45716
가평군,복장리경로당,23,경기도 가평군 가평읍 상지로 1098,경기도 가평군 가평읍 복장리 345-2번지,12430,031-582-1874,1989-05-16,가평군청,희망복지실,031-580-2282,,37.7365797,127.5035214
가평군,봉수리경로당,37,경기도 가평군 상면 물골길 442-10,경기도 가평군 상면 봉수리 76-1번지,12440,031-584-9320,1992-10-06,가평군청,희망복지실,031-580-2282,,37.8527801,127.2921019
가평군,북면분회경로당,26,경기도 가평군 북면 화악산로11번길 6-8,경기도 가평군 북면 목동리 891-6번지,12403,031-582-5486,,가평군청,희망복지실,031-580-2282,,37.88694943,127.5493487
가평군,사룡리(용문천)경로당,29,경기도 가평군 설악면 용문천길 245,경기도 가평군 설악면 사룡리 748-2번지,12460,031-585-3548,2007-10-19,가평군청,희망복지실,031-580-2282,,37.69541566,127.4817244
가평군,사룡리경로당,15,경기도 가평군 설악면 자잠로 198,경기도 가평군 설악면 사룡리 산38-1번지,12460,,1996-12-10,가평군청,희망복지실,031-580-2282,,37.6924165,127.4880883
가평군,산유리경로당,50,경기도 가평군 가평읍 호반로 1827,경기도 가평군 가평읍 산유리 209번지,12429,031-582-4225,1989-05-16,가평군청,희망복지실,031-580-2282,,37.75654632,127.5115538
가평군,삼회1리경로당,31,경기도 가평군 청평면 북한강로 2009,경기도 가평군 청평면 삼회리 201번지,12458,031-584-4405,,가평군청,희망복지실,031-580-2282,,37.69636019,127.3914875
가평군,삼회2리경로당,41,,경기도 가평군 청평면 삼회리 475-6번지,12458,031-584-6537,,가평군청,희망복지실,031-580-2282,,37.66744737,127.3807054
가평군,상동리경로당,50,,경기도 가평군 상면 상동리 113번지,12443,031-585-5169,,가평군청,희망복지실,031-580-2282,,37.79303943,127.3231812
가평군,상면분회경로당,27,,경기도 가평군 상면 연하리 180-4번지,12444,,,가평군청,희망복지실,031-580-2282,,37.8051805,127.3559818
가평군,상봉수리경로당,44,경기도 가평군 상면 봉수로150번길 28,경기도 가평군 상면 봉수리 170번지,12440,031-584-9321,2008-02-18,가평군청,희망복지실,031-580-2282,,37.86156232,127.2928748
가평군,상색리(벌태봉)경로당,44,경기도 가평군 가평읍 태봉두밀로 38,경기도 가평군 가평읍 상색리 196-3번지,12426,031-582-2307,1989-05-16,가평군청,희망복지실,031-580-2282,,37.80426492,127.4824944
가평군,상색리(포회촌)경로당,24,경기도 가평군 가평읍 불기산길 48,경기도 가평군 가평읍 상색리 451-2번지,12426,,2011-04-06,가평군청,희망복지실,031-580-2282,,37.79923791,127.4757516
가평군,상천1리경로당,54,,경기도 가평군 청평면 큰매골로39-36,,031-582-7061,,가평군청,희망복지실,031-580-2282,,,
가평군,상천2리경로당,40,경기도 가평군 청평면 상천역로19번길 12-1,경기도 가평군 청평면 상천리 1262-4번지,12449,031-584-3255,,가평군청,희망복지실,031-580-2282,,37.77088004,127.4541084
가평군,상천3리경로당,37,경기도 가평군 청평면 수리재길 324,경기도 가평군 청평면 상천리 974번지,12449,031-584-2052,,가평군청,희망복지실,031-580-2282,,37.79054,127.4320331
가평군,상천4리경로당,60,경기도 가평군 청평면 상지로64번길 3,경기도 가평군 청평면 상천리 1354-2번지,12449,031-584-0466,,가평군청,희망복지실,031-580-2282,,37.76896201,127.4585344
가평군,상판리경로당,38,경기도 가평군 조종면 명지산로 325,경기도 가평군 조종면 상판리 466-3번지,12431,031-585-1085,1988-12-20,가평군청,희망복지실,031-580-2282,,37.90114262,127.3724258
