시군명,시설명,도로명 주소,지번 주소,우편번호,전화번호,FAX번호,이용회원수,종사자정원,종사자현원-계,종사자현원-남자,종사자현원-여자,종사자현원-정규직,종사자현원-비정규직,설치일자,설치주체-지자체,설치주체-민간,운영주체-구분,운영주체-법인(단체)명,비고,WGS84위도,WGS84경도
가평군,가평군노인복지관,경기도 가평군 가평읍 가화로 161,경기도 가평군 가평읍 읍내리 625-8번지,12413,031-582-0763,031-582-4181,1213,9,9,6,3,9,,2012-01-19,위탁,,재단법인,가평군복지재단,,37.83347967,127.5110479
고양시,고양시대화노인종합복지관,경기도 고양시 일산서구 일산로 778,경기도 고양시 일산서구 대화동 2237번지,10382,031-917-1352,031-917-1351,6863,65,65,9,56,22,43,2014-06-16,위탁,,사회복지법인,사회복지법인 대건커리타스,,37.67446225,126.748021
고양시,고양시덕양노인종합복지관,경기도 고양시 덕양구 어울림로 49,경기도 고양시 덕양구 화정동 846번지,10470,031-969-7781,031-969-7784,25619,106,106,18,88,31,75,2000-10-04,위탁,,사회복지법인,사회복지법인 해피월드복지재단,,37.64834808,126.8365278
고양시,고양시일산노인종합복지관,경기도 고양시 일산동구 호수로 731,경기도 고양시 일산동구 장항동 906번지,10400,031-919-8677,031-919-8678,36398,79,79,19,60,30,49,2000-04-20,위탁,,사회복지법인,사회복지법인 연꽃마을,,37.6577997,126.7634564
과천시,과천시노인복지관,경기도 과천시 문원로 57,경기도 과천시 문원동 15-168번지,13828,02-502-8500,02-502-8522,7278,50,50,15,35,24,26,2001-02-08,직영,-,사회복지법인,사회복지법인큰소망,,37.42807486,127.0043055
광명시,광명시노인종합복지관,경기도 광명시 소하로 25,경기도 광명시 소하동 1291번지,14315,02-2625-9300,02-2625-9330,10209,83,83,9,74,24,59,2009-07-01,위탁,,사회복지법인,사회복지법인  한기장복지재단,,37.4521268,126.8849047
광주시,광주시노인복지관,경기도 광주시 파발로 202,경기도 광주시 탄벌동 18-1번지,12739,031-766-9129,031-766-9266,14376,68,67,10,57,24,43,2006-11-13,위탁,,학교법인,동원대학교 산학협력단,,37.41686062,127.2498977
군포시,군포시노인복지관,경기도 군포시 고산로 223,경기도 군포시 당동 887번지,15876,031-399-2270,031-399-2271,10520,33,33,10,23,22,11,1998-05-08,위탁,,사회복지법인,사회복지법인 기아대책,,37.34531304,126.9474021
군포시,군포시늘푸른노인복지관,경기도 군포시 산본천로 101,경기도 군포시 산본동 1096번지,15818,031-394-5978,031-397-5755,10953,36,36,9,27,24,12,2015-07-02,위탁,,재단법인,대한성공회유지재단,,37.36408257,126.9330069
김포시,노인종합복지관,경기도 김포시 사우중로74번길 48,경기도 김포시 사우동 865번지,10111,031-997-9300,031-996-3926,11617,29,29,11,18,21,8,2005-12-29,위탁,,사회복지법인,사회복지법인 한국장로교복지재단,,37.62219345,126.7225773
김포시,북부노인복지관,경기도 김포시 통진읍 마송1로16번길 40-2,경기도 김포시 통진읍 마송리 565-9번지,10032,031-984-0108,031-984-0181,3456,20,20,5,15,17,3,2014-08-06,위탁,,사회복지법인,사회복지법인 대한불교조계종석왕사룸비니,,37.68359583,126.6068381
남양주시,남양주시노인복지관,경기도 남양주시 진건읍 진건오남로 359,경기도 남양주시 진건읍 송능리 109-17번지,12129,031-573-6598,031-573-6597,4572,12,12,4,8,12,0,1994-10-30,위탁,,사회복지법인,대한불교조계종,,37.67333432,127.197142
남양주시,남양주시동부노인복지관,경기도 남양주시 수동면 비룡로 801-47,경기도 남양주시 수동면 운수리 361번지,12031,031-559-5880,031-559-5883,1384,10,10,5,5,9,1,2005-07-26,위탁,,사회복지법인,휴먼복지회,,37.70971791,127.3204294
남양주시,해피누리노인복지관,경기도 남양주시 늘을2로 67,경기도 남양주시 호평동 620번지,12148,031-590-3000,031-595-4115,4098,11,11,5,6,11,0,2017-11-15,위탁,,사회복지법인,선한이웃복지재단,,37.65758378,127.2421708
동두천시,동두천시노인복지관,경기도 동두천시 동두천로 264,경기도 동두천시 생연동 643-3번지,11329,031-857-9918,031-857-9929,7924,66,66,9,57,20,46,2010-06-22,위탁,,지자체,사회복지법인 좋은손복지재단,,37.90502605,127.0561186
부천시,소사노인복지관,경기도 부천시 경인옛로 73,경기도 부천시 소사본동 64번지,14692,032-347-9534,032-347-4416,9600,23,23,5,18,14,9,1889-02-03,위탁,,사회복지법인,사회복지법인기독교대한감리회 사회복지재단,,37.48014943,126.7998524
부천시,오정노인복지관,경기도 부천시 성오로 172,경기도 부천시 오정동 129번지,14434,032-683-9290,032-683-9291,10027,26,26,8,18,14,12,1994-02-20,위탁,,사회복지법인,사회복지법인네트워크,,37.52797634,126.7959895
부천시,원미노인복지관,경기도 부천시 부천로136번길 27,경기도 부천시 원미동 71번지,14566,032-667-0261,032-666-0262,10304,26,26,8,18,14,12,2000-02-04,위탁,,사회복지법인,사회복지법인연꽃마을,,37.49637149,126.7869623
성남시,분당노인종합복지관,경기도 성남시 분당구 불정로 50,경기도 성남시 분당구 정자동 253번지,13606,031-785-9200,031-785-9292,19617,44,44,19,25,32,12,2008-01-11,위탁,,사회복지법인,사회복지법인 지구촌사회복지재단,,37.35753597,127.1147739
성남시,수정노인종합복지관,경기도 성남시 수정구 수정남로268번길 28,경기도 성남시 수정구 산성동 2178번지,13130,031-731-3393,031-741-4519,10528,39,39,9,30,29,10,1998-07-08,위탁,,재단법인,재단법인 성모성심수도회,,37.45088316,127.1528967
성남시,수정중앙노인종합복지관,경기도 성남시 수정구 성남대로1480번길 38,경기도 성남시 수정구 복정동 666번지,13112,031-752-3366,031-758-5546,8825,33,33,15,18,25,8,2004-05-24,위탁,,사회복지법인,사회복지법인 대한예수교장로회(합동측)복지재단,,37.46141524,127.1303796
성남시,중원노인종합복지관,경기도 성남시 중원구 제일로35번길 51,경기도 성남시 중원구 성남동 3439번지,13366,031-751-7450,031-751-7448,15004,45,45,11,34,37,8,2007-08-24,위탁,,사회복지법인,사회복지법인 천주교 수원교구 사회복지회,,37.4319423,127.1314934
성남시,판교노인종합복지관,경기도 성남시 분당구 판교역로 99,경기도 성남시 분당구 백현동 528번지,13531,031-620-2855,031-702-5208,8679,48,48,25,23,45,3,2017-04-17,위탁,,사회복지법인,대한불교조계종 봉은,,37.39008626,127.1085437
성남시,황송노인종합복지관,경기도 성남시 중원구 금상로 132,경기도 성남시 중원구 상대원동 279-7번지,13208,031-731-5520,031-731-5514,6692,29,29,12,17,22,7,2011-02-07,위탁,,사회복지법인,대한불교조계종사회복지재단,,37.44166212,127.1692068
수원시,SK청솔노인복지관,경기도 수원시 장안구 장안로 174,경기도 수원시 장안구 정자동 286번지,16340,031-257-6811,031-257-6812,13772,23,23,11,12,21,2,2010-06-09,위탁,,학교법인,학교법인 삼일학원,,37.29889634,126.9973329
수원시,광교노인복지관,,경기도 수원시 영통구 센트럴타운로 22길  (이의동),,031-8006-7400,031-8006-7459,8154,22,53,8,45,22,31,2013-10-08,위탁,,사회복지법인,사회복지법인 수원중앙복지재단,,,
수원시,밤밭노인복지관,경기도 수원시 장안구 상률로 53,경기도 수원시 장안구 율전동 40-1번지,16352,031-271-8859,070-4047-8859,4431,20,25,9,16,20,5,2014-05-01,위탁,,사회복지법인,사회복지법인 한국장로교 복지재단,,37.30665026,126.9720656
수원시,버드내노인복지관,경기도 수원시 권선구 권선로564번길 36,경기도 수원시 권선구 세류동 483번지,16576,031-898-6544,031-898-6549,37157,34,34,12,22,29,5,2006-03-07,위탁,,사회복지법인,사회복지법인 수원중앙복지재단,,37.26104398,127.0118891
