시군구명,시설종류,시설명,장기요양지정기관 여부,도로명 주소,지번 주소,전화번호,FAX번호,우편번호,입소정원,입소현원-계,입소현원-남자,입소현원-여자,입소현원-등급내(시설급여1~5급),입소현원-등급외,입소현원-기초수급자,입소현원-기초수급자외,종사자정원,종사자현원-계,종사자현원-남자,종사자현원-여자,종사자현원-정규직,종사자현원-비정규직,설치일자,설치주체-지자체,설치주체-민간,운영주체-구분,운영주체-법인(단체)명,영리/비영리,비고,WGS84위도,WGS84경도
가평군,노인요양시설(개정법),가평꽃동네노인요양시설(평화의집),지정,경기도 가평군 조종면 꽃동네길 52,경기도 가평군 조종면 운악리 540-2번지,031-589-0102,031-589-0226,12432,187,180,64,116,156,24,180,0,99,108,48,60,83,25,1994-03-26,,그외법인,재단법인,가평꽃동네 노인요양원,비영리,,37.88483091,127.3503712
가평군,노인요양시설(개정법),가평사랑의요양원,지정,경기도 가평군 가평읍 태봉두밀로 525-137,경기도 가평군 가평읍 두밀리 220번지,031-582-8463,031-582-8312,12425,28,24,6,18,24,0,8,16,15,15,5,10,15,0,2006-01-11,,개인,개인,,영리,,37.81206402,127.4464777
가평군,노인요양공동생활가정,가평효사랑요양원,지정,경기도 가평군 가평읍 용추로 6,경기도 가평군 가평읍 승안리 61-2번지,031-581-0688,031-581-3688,12408,9,9,4,5,9,0,2,7,9,9,2,7,9,0,2014-04-04,,개인,개인,,영리,,37.84092683,127.5055777
가평군,노인요양시설(개정법),노병사의 집,지정,경기도 가평군 조종면 운악청계로491번길 106,경기도 가평군 조종면 신상리 518-5번지,031-585-7460,031-585-7462,12434,23,21,2,19,21,0,12,9,11,11,2,9,11,0,2007-08-27,,개인,개인,,영리,,37.8538674,127.3467829
가평군,노인요양공동생활가정,노인요양 생명의빛,지정,경기도 가평군 상면 기와집길 10,경기도 가평군 상면 연하리 179-8번지,031-585-2009,031-585-2095,12444,9,9,1,8,1,8,0,9,7,7,4,3,7,0,2010-12-06,,개인,개인,,영리,,37.80537079,127.3556193
가평군,노인요양시설(개정법),노인요양센터 우리향기,지정,경기도 가평군 청평면 북한강로1604번길 64-27,경기도 가평군 청평면 삼회리 500번지,031-585-5805,031-585-5574,12458,29,27,6,21,26,1,4,23,29,15,3,12,15,0,2010-11-11,,개인,개인,,영리,,37.66425192,127.3881467
가평군,노인요양시설(개정법),백둔리상신노인전문요양원,지정,경기도 가평군 북면 백둔로 380-102,경기도 가평군 북면 백둔리 340-1번지,031-582-9080,031-582-2551,12406,60,48,9,39,37,11,27,21,36,36,13,23,20,16,2006-12-14,,그외법인,재단법인,재단법인 대한예수교장로회 서울노회유지재단,비영리,,37.90391655,127.46455
가평군,노인요양시설(개정법),샘물복지타운,지정,경기도 가평군 상면 물골길 441-129,경기도 가평군 상면 봉수리 123-4번지,031-585-6721,031-585-7084,12440,29,29,6,23,29,0,9,20,15,15,4,11,15,0,2007-01-09,,개인,개인,,영리,,37.85244769,127.2880215
가평군,노인요양시설(개정법),열린복지랜드 웰빙요양원,지정,경기도 가평군 설악면 유명로 1906-22,경기도 가평군 설악면 회곡리 6-2번지,031-585-5060,031-584-5675,12459,48,33,11,22,33,0,13,20,20,19,4,15,2,17,2008-05-29,,개인,개인,,영리,,37.68091418,127.4717801
가평군,노인요양공동생활가정,예수의 집,지정,경기도 가평군 가평읍 태봉안길 80-50,경기도 가평군 가평읍 하색리 630번지,031-582-8179,031-582-8182,12424,9,8,0,8,8,0,0,8,7,7,0,7,7,0,2013-07-08,,사회복지법인,사회복지법인,천주교춘천교구사회복지회,비영리,,37.8092089,127.483026
가평군,노인요양시설(개정법),이레요양원,지정,경기도 가평군 설악면 유명로 1277-26,경기도 가평군 설악면 천안리 415-3번지,031-585-0947,031-585-0948,12469,15,11,2,9,0,11,3,8,7,8,2,6,8,0,2005-09-23,,개인,개인,,영리,,37.64864104,127.4742286
가평군,노인요양시설(개정법),한솔너싱홈청평센터,지정,경기도 가평군 청평면 북한강로 2070,경기도 가평군 청평면 삼회리 188-5번지,031-584-3889,031-584-3887,12458,29,28,3,25,28,0,3,25,17,17,5,12,17,0,2008-08-06,,개인,개인,,영리,,37.70060755,127.3957619
고양시,노인요양시설(개정법),(가장)다정한요양원,지정,경기도 고양시 덕양구 중앙로558번길 16-12,경기도 고양시 덕양구 행신동 948-1번지,031-9790-9020,031-9790-9030,10495,25,25,3,22,25,0,3,22,25,14,0,14,3,11,2013-05-16,,개인,개인,,영리,,37.62374232,126.8363675
