시군명,센터명,전화번호,담당부서명,사례팀명,자원팀명,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
가평군,가평군무한돌봄센터,031-580-2255,복지정책과,희망나눔팀,,12412,"경기도 가평군 가평읍 보납로 31(가평군청,복지정책과)","경기도 가평군 가평읍 보납로 31(가평군청,복지정책과)",37.8311789,127.5139059
고양시,고양시무한돌봄센터,031-8075-3238,복지정책과,복지네트워크팀,,10460,"경기도 고양시 덕양구 고양시청로 10, 고양시청","경기도 고양시 덕양구 고양시청로 10, 고양시청",37.6580452,126.8321204
과천시,과천시무한돌봄센터,02-3677-2844,복지정책과,복지허브팀,,13806,"경기도 과천시 관문로 69 (중앙동, 과천시청)","경기도 과천시 관문로 69 (중앙동, 과천시청)",37.4292721,126.9874486
광명시,광명시무한돌봄센터,02-2680-6508,복지정책과,사례관리지원팀,,14234,경기도 광명시 시청로 20. 광명시청 복지정책과,경기도 광명시 시청로 20. 광명시청 복지정책과,37.4775399,126.8645715
광주시,광주시무한돌봄센터,031-760-5947,희망복지과,무한돌봄팀,복지지원팀,12738,"경기도 광주시 행정타운로 50(송정동, 광주시청 희망복지과)","경기도 광주시 행정타운로 50(송정동, 광주시청 희망복지과)",37.4291139,127.2543329
구리시,구리시무한돌봄센터,031-550-8333,고용복지과,희망복지팀,,11940,"경기도 구리시 체육관로 74, 행정복지센터 무한돌봄과(수택동)","경기도 구리시 체육관로 74, 행정복지센터 무한돌봄과(수택동)",37.5913917,127.1385381
군포시,군포시무한돌봄센터,031-390-0638,복지정책과,무한돌봄팀,복지자원관리팀,15829,경기도 군포시 청백리길 6. 군포시청(복지정책과),경기도 군포시 청백리길 6. 군포시청(복지정책과),37.3614166,126.9348945
김포시,김포시무한돌봄센터,031-980-2632,복지과,희망복지팀,,10109,"경기도 김포시 사우중로 1, (사우동, 김포시청)","경기도 김포시 사우중로 1, (사우동, 김포시청)",37.6153023,126.7156375
남양주시,남양주시무한돌봄센터,031-590-8670,복지총괄과,복지허브화팀,희망케어팀,12232,"경기도 남양주시 경춘로 1037 희망복지과(금곡동, 남양주시청제1청사)","경기도 남양주시 경춘로 1037 희망복지과(금곡동, 남양주시청제1청사)",37.6356678,127.216247
동두천시,동두천시무한돌봄센터,031-860-2362,복지정책과,무한돌봄팀,복지자원관리팀,11317,"경기도 동두천시 방죽로 23(동두천시청,주민생활지원과)","경기도 동두천시 방죽로 23(동두천시청,주민생활지원과)",37.9033841,127.0606995
부천시,부천시무한돌봄센터,032-625-2851,복지정책과,사례관리팀,,14547,경기도 부천시 원미구 길주로 210,경기도 부천시 원미구 길주로 210,37.5028451,126.7658519
성남시,성남시무한돌봄센터,031-729-8512,사회복지과,희망복지팀,복지자원관리팀,13437,"경기도 성남시 중원구 성남대로 997(여수동, 성남시청)","경기도 성남시 중원구 성남대로 997(여수동, 성남시청)",37.4200543,127.1265024
수원시,수원시무한돌봄휴먼서비스센터,031-228-3222,복지허브화추진단,휴먼복지지원팀,복지자원관리팀,16490,경기도 수원시 팔달구 효원로 241(인계동) 수원시청 사회복지과,경기도 수원시 팔달구 효원로 241(인계동) 수원시청 사회복지과,37.2633752,127.0285851
시흥시,시흥시무한돌봄센터,031-310-3586,복지정책과,무한돌봄팀,,14998,"경기도 시흥시 시청로 20, 시흥시청 2층 복지정책과 (장현동)","경기도 시흥시 시청로 20, 시흥시청 2층 복지정책과 (장현동)",37.3798554,126.8031376
안산시,안산시무한돌봄센터,031-481-3021,복지정책과,통합사례관리팀,복지자원관리팀,15335,"경기도안산시 단원구 화랑로 387, 안산시청 복지정책과(고잔동)","경기도안산시 단원구 화랑로 387, 안산시청 복지정책과(고잔동)",37.3220367,126.8315185
안성시,안성시무한돌봄센터,031-678-5433,복지정책과,무한돌봄팀,,17586,"경기 안성시 시청길 25(안성시청, 복지정책과)","경기 안성시 시청길 25(안성시청, 복지정책과)",37.0077423,127.2799595
안양시,안양시무한돌봄센터,031-8045-5618,복지정책과,무한돌봄센터팀,,14053,"경기도 안양시 동안구 시민대로 235 복지정책과(관양동, 안양시청)","경기도 안양시 동안구 시민대로 235 복지정책과(관양동, 안양시청)",37.3940799,126.9569764
양주시,양주시무한돌봄센터,031-538-3077,시민복지과,무한돌봄팀,,11498,경기도 양주시 부흥로 1533 (남방동) 양주시청,경기도 양주시 부흥로 1533 (남방동) 양주시청,37.7849261,127.0452932
양평군,양평군무한돌봄센터,031-770-2143,행복돌봄과,무한돌봄센터팀,,12554,"경기도 양평군 양평읍 군청앞길 2, (양평군청 행복돌봄과)","경기도 양평군 양평읍 군청앞길 2, (양평군청 행복돌봄과)",37.491638,127.4873972
여주시,여주시무한돌봄센터,031-887-2889,복지정책과,무한돌봄킴,,12619,경기도 여주시 세종로 1(홍문동) 여주시청 무한돌봄센터,경기도 여주시 세종로 1(홍문동) 여주시청 무한돌봄센터,37.2981343,127.6371142
연천군,연천군무한돌봄센터,031-839-2461,복지지원과,무한돌봄팀,,11017,경기도 연천군 연천읍 연천로 220 복지지원과,경기도 연천군 연천읍 연천로 220 복지지원과,38.0963885,127.0749987
