시군구명,시설종류,시설명,장기요양지정기관여부,도로명주소,지번주소,우편번호,전화번호,FAX번호,입소정원,입소현원-계,입소현원-남자,입소현원-여자,입소현원-등급내(1~5급),입소현원-등급외,연간이용인원-계,연간이용인원-남자,연간이용인원-여자,종사자정원,종사자현원-계,종사자현원-남자,종사자현원-여자,종사자현원 근무별-계,종사자현원-정규직,설치일자,설치주체-지자체,설치주체-민간,운영주체-구분,운영주체-법인(단체)명,영리/비영리,비고,WGS84위도,WGS84경도
가평군,재가노인복지시설 주야간보호,가평군노인복지관 재가노인복지센터,지정,경기도 가평군 가평읍 가화로 161,경기도 가평군 가평읍 읍내리 625-8번지,12413,031-582-0729,031-582-0726,20,20,7,13,20,0,240,84,156,2,2,0,2,2,2,2012-05-14,위탁,,가평군복지재단,재단법인,비영리,,37.83347967,127.5110479
가평군,재가노인복지시설 방문요양,가평군노인복지관 재가노인복지센터,지정,경기도 가평군 가평읍 가화로 161,경기도 가평군 가평읍 읍내리 625-8번지,12413,031-582-0729,031-582-0726,30,30,10,20,30,0,360,120,240,22,22,0,22,22,0,2012-05-14,위탁,,가평군복지재단,재단법인,비영리,,37.83347967,127.5110479
가평군,재가노인복지시설 주야간보호,상면재가노인복지센터,지정,경기도 가평군 상면 청군로 1103,경기도 가평군 상면 연하리 171-1번지,12444,031-585-6763,031-585-6764,15,15,2,13,15,0,20,3,17,15,15,2,13,15,7,2012-01-19,위탁,,가평군복지재단,재단법인,비영리,,37.80487136,127.3569228
가평군,재가노인복지시설 방문목욕,신애원노인복지센터,지정,경기도 가평군 조종면 세곡로 5-15,경기도 가평군 조종면 현리 120-5번지,12435,031-584-5679,031-585-5611,,1,0,1,1,0,1,0,1,0,3,2,1,3,1,2008-06-18,,개인,,개인,영리,,37.82923267,127.3447603
가평군,재가노인복지시설 방문요양,신애원노인복지센터,지정,경기도 가평군 조종면 세곡로 5-15,경기도 가평군 조종면 현리 120-5번지,12435,031-584-5679,031-585-5611,,32,5,27,32,0,50,4,46,0,32,5,27,32,2,2008-06-18,,개인,,개인,영리,,37.82923267,127.3447603
고양시,재가노인복지시설 방문목욕,(주)서원노인복지센터,지정,경기도 고양시 일산서구 대산로 213,경기도 고양시 일산서구 대화동 2143-1번지,10377,031-923-2358,031-918-2358,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-03-04,,개인,,개인,영리,미운영중,37.67804432,126.7547081
고양시,재가노인복지시설 방문요양,(주)서원노인복지센터,지정,경기도 고양시 일산서구 대산로 213,경기도 고양시 일산서구 대화동 2143-1번지,10377,031-923-2358,031-918-2358,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-03-04,,개인,,개인,영리,미운영중,37.67804432,126.7547081
고양시,재가노인복지시설 방문목욕,고양노인복지센터,지정,경기도 고양시 덕양구 호수로 3,경기도 고양시 덕양구 토당동 283-1번지,10509,031-970-0360,031-970-0414,,2,1,1,2,0,2,1,1,0,6,1,5,6,6,2012-01-02,,사회복지법인,사회복지법인효샘,사회복지법인,비영리,,37.62474932,126.8168703
고양시,재가노인복지시설 방문요양,고양노인복지센터,지정,경기도 고양시 덕양구 호수로 3,경기도 고양시 덕양구 토당동 283-1번지,10509,031-970-0360,031-970-0414,,80,20,60,80,0,99,22,77,0,61,1,60,61,61,2012-01-02,,사회복지법인,사회복지법인효샘,사회복지법인,비영리,,37.62474932,126.8168703
고양시,재가노인복지시설 재가노인지원서비스,고양노인복지센터,미지정,경기도 고양시 덕양구 호수로 3,경기도 고양시 덕양구 토당동 283-1번지,10509,031-970-0360,031-970-0414,,108,47,61,0,108,139,59,80,0,3,0,3,3,3,2012-01-02,,사회복지법인,사회복지법인효샘,사회복지법인,비영리,,37.62474932,126.8168703
