,시군명,식당,식당_영문명,최후의음식,위도,경도
0,가평군,가평(춘천방향)휴게소 한식당,gapyeong(chuncheonbanghyang)hyugeso hansigdang,0,37.7015856,127.5464997
1,가평군,해낙전 철판,haenagjeon cheolpan,닭갈비,37.7171036,127.4584774
2,가평군,일가가마솥설렁탕,ilgagamasotseolleongtang,곰탕_설렁탕,37.8227595,127.3400396
3,가평군,이경숙할머니음식점,igyeongsughalmeonieumsigjeom,"장어구이, 매운탕",37.7023349,127.3964853
4,가평군,늘 봄,neul bom,갈비구이,37.8347635,127.5100002
5,가평군,미락무교동낚지,milag mugyodongnagji,0,37.8153482,127.501577
6,가평군,가평축협 한우명가,gapyeongchughyeob han-umyeong-ga,갈비구이,37.8158443,127.5161283
7,가평군,장군숯불구이,jang-gunsuchbulgu-i,갈비구이,37.8304558,127.5123561
8,가평군,두메산골식당,dumesangolsigdang,불고기,37.7598549,127.3955416
9,가평군,가평(서울방향)휴게소 한식당,(ju)lapeseutasiheungbaegoj-jeomkkochmaleumjyuseusigseu,0,37.7030791,127.5449911
10,가평군,한촌설렁탕,hanchonseolleongtang,곰탕_설렁탕,37.6725071,127.4876412
11,가평군,종점가든,jongjeomgadeun,칼국수,37.5953195,127.4903105
12,가평군,들풀,andongjangteosogogigugbab(gimpodaegoj-jeom),0,37.6710547,127.5031942
13,가평군,소양강숯불닭갈비,soyang-gangsuchbuldalg-galbi,닭갈비,37.6749489,127.4984482
14,가평군,산이좋은사람들,san-ijoh-eunsalamdeul,0,37.8660319,127.3491805
15,가평군,풍년회관,pungnyeonhoegwan,삼계탕,37.8204579,127.3477068
16,가평군,빗고개청국장,bisgogaecheong-gugjang,0,37.785736,127.4635528
17,가평군,가평축협 한우명가(설악지점),gapyeongchughyeob han-umyeong-ga(seol-agjijeom),갈비구이,37.6766156,127.4941405
18,고양시,성석골남원추어탕,seongseoggolnam-wonchueotang,추어탕,37.6831258,126.7917956
19,고양시,청정바지락칼국수,cheongjeongbajilagkalgugsu,칼국수,37.6737073,126.7753751
20,고양시,청목,cheongmog,0,37.6576893,126.7713555
21,고양시,단스시일산점,danseusiilsanjeom,0,37.6582698,126.7733483
22,고양시,장수관,jangsugwan,0,37.6822644,126.7790106
23,고양시,장충동한양할머니족발,jangchungdonghan-yanghalmeonijogbal,족발,37.6468523,126.7864934
24,고양시,뿅의 전설,ppyong-ui jeonseol,짬뽕,37.6746867,126.7834881
25,고양시,영희네김밥,yeonghuinegimbab,김밥,37.6869902,126.7185243
26,고양시,궁돌아구해물찜,gungdol-aguhaemuljjim,0,37.6930725,126.7725721
27,고양시,소백산,gaeseongsonmandu(pyeongtaegjeom),갈비구이,37.6757979,126.7490705
28,고양시,의정부부대찌개,uijeongbubudaejjigae,0,37.6826824,126.7761865
29,고양시,뽕잎사랑일산    후곡점,ppong-ipsalang-ilsan    hugogjeom,0,37.6795472,126.7626043
30,고양시,본일산오리구이,bon-ilsan-oligu-i,훈제오리,37.6861509,126.7714031
31,고양시,아바이토종순대국,abaitojongsundaegug,0,37.6768757,126.7475139
32,고양시,서우샤브샤브,seousyabeusyabeu,0,37.6454981,126.8963948
33,고양시,심정한정식,simjeonghanjeongsig,제육볶음,37.6418878,126.8496173
34,고양시,뚜띠쿠치나,ttuttikuchina,0,37.6219453,126.8465886
35,고양시,금수강산,geumsugangsan,0,37.7104876,126.8995567
36,고양시,보인삼계탕,boinsamgyetang,삼계탕,37.6335747,126.8320631
37,고양시,포항물회,pohangmulhoe,추어탕,37.6234411,126.8467327
38,고양시,고향토종돌솥밥순대국,gohyangtojongdolsotbabsundaegug,0,37.626382,126.8181236
39,고양시,빵을요리하다,ppang-eul-yolihada,0,37.6429108,126.8852607
40,고양시,초애삼계탕,choaesamgyetang,삼계탕,37.6460809,126.8523961
41,고양시,유성국내산한돈전문점,yuseong-gugnaesanhandonjeonmunjeom,삼겹살,37.6517982,126.8892242
42,고양시,팬브레드,paenbeuledeu,0,37.6423299,126.8501489
43,고양시,전주콩나루콩나물국밥 삼송점,jeonjukongnalukongnamulgugbab samsongjeom,0,37.6448305,126.8772016
44,고양시,에덴그린농원,edengeulinnong-won,장어구이,37.600412,126.8273489
45,고양시,달빛소나타,dalbichsonata,갈비구이,37.6565174,126.834821
46,고양시,우정가든,ujeong-gadeun,0,37.6028645,126.8225983
47,고양시,족의발견,sin-uijusundaeilsanbonga,족발,37.6536057,126.8769828
48,고양시,엄지양꼬치,seungjam-won,0,37.7087696,126.9028591
49,고양시,장뜰쌈밥,jangtteulssambab,제육볶음,37.6410233,126.8431269
50,고양시,금가네들꽃밥상(원흥점),geumganedeulkkochbabsang(wonheungjeom),0,37.6246618,126.8726478
51,고양시,팬브레드 원흥점,paenbeuledeu wonheungjeom,0,37.6491616,126.8747807
52,고양시,쥐눈이콩마을,jwinun-ikongma-eul,불고기,37.6698522,126.8554198
